MinAbsEStateIndex,qed,SPS,AvgIpc,BalabanJ,HallKierAlpha,Ipc,Kappa3,PEOE_VSA1,PEOE_VSA10,PEOE_VSA12,PEOE_VSA13,PEOE_VSA2,PEOE_VSA3,PEOE_VSA5,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA10,SlogP_VSA1,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA8,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState10,VSA_EState2,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,RingCount,fr_Al_COO,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_NH0,fr_NH1,fr_Ndealkylation1,fr_Ndealkylation2,fr_allylic_oxid,fr_bicyclic,fr_ester,fr_ether,fr_guanido,fr_methoxy,fr_morpholine,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_pyridine,fr_quatN,fr_thiocyan,T/K,index,Normalized SMILES,lnr
0.724767101,0.515501888,12.66666667,2.506370238,5.11e-07,-1.92,205271.7225,8.095818092,4.127401125,6.544756406,0.0,0.0,0.0,21.40269362,0.0,0.0,18.55355576,11.6326728,20.04658231,4.567099648,0.0,27.85225497,26.59133871,4.127401125,0.0,0.0,16.23560902,12.84164325,0.0,24.52642128,17.56005816,5.261891555,0.0,0.0,0.0,5.782761558,6.297614087,3.214698759,-13.44305556,0.5,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,368.15,3,CCCC[n+]1ccc(C#N)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.559615788
1.152777778,0.570797065,18.73684211,2.579278556,3.44e-07,-0.32,6499.781962,11.22339348,8.610431983,0.0,20.81849155,0.0,0.0,16.83559397,7.771517605,6.420821623,12.84164325,26.6819412,20.81849155,0.0,0.0,48.00056603,20.81849155,4.127401125,0.0,0.0,4.127401125,49.80058657,0.0,0.0,13.97140918,0.0,0.0,0.0,0.0,0.0,5.685286281,6.554297052,-8.834166667,1.0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,318.15,4,CCCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,0.246860078
1.152777778,0.570797065,18.73684211,2.579278556,3.44e-07,-0.32,6499.781962,11.22339348,8.610431983,0.0,20.81849155,0.0,0.0,16.83559397,7.771517605,6.420821623,12.84164325,26.6819412,20.81849155,0.0,0.0,48.00056603,20.81849155,4.127401125,0.0,0.0,4.127401125,49.80058657,0.0,0.0,13.97140918,0.0,0.0,0.0,0.0,0.0,5.685286281,6.554297052,-8.834166667,1.0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,328.15,4,CCCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,0.31481074
1.152777778,0.570797065,18.73684211,2.579278556,3.44e-07,-0.32,6499.781962,11.22339348,8.610431983,0.0,20.81849155,0.0,0.0,16.83559397,7.771517605,6.420821623,12.84164325,26.6819412,20.81849155,0.0,0.0,48.00056603,20.81849155,4.127401125,0.0,0.0,4.127401125,49.80058657,0.0,0.0,13.97140918,0.0,0.0,0.0,0.0,0.0,5.685286281,6.554297052,-8.834166667,1.0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,338.15,4,CCCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,0.378436436
1.152777778,0.570797065,18.73684211,2.579278556,3.44e-07,-0.32,6499.781962,11.22339348,8.610431983,0.0,20.81849155,0.0,0.0,16.83559397,7.771517605,6.420821623,12.84164325,26.6819412,20.81849155,0.0,0.0,48.00056603,20.81849155,4.127401125,0.0,0.0,4.127401125,49.80058657,0.0,0.0,13.97140918,0.0,0.0,0.0,0.0,0.0,5.685286281,6.554297052,-8.834166667,1.0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,348.15,4,CCCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,0.438254931
1.152777778,0.570797065,18.73684211,2.579278556,3.44e-07,-0.32,6499.781962,11.22339348,8.610431983,0.0,20.81849155,0.0,0.0,16.83559397,7.771517605,6.420821623,12.84164325,26.6819412,20.81849155,0.0,0.0,48.00056603,20.81849155,4.127401125,0.0,0.0,4.127401125,49.80058657,0.0,0.0,13.97140918,0.0,0.0,0.0,0.0,0.0,5.685286281,6.554297052,-8.834166667,1.0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,358.15,4,CCCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,0.494696242
1.152777778,0.570797065,18.73684211,2.579278556,3.44e-07,-0.32,6499.781962,11.22339348,8.610431983,0.0,20.81849155,0.0,0.0,16.83559397,7.771517605,6.420821623,12.84164325,26.6819412,20.81849155,0.0,0.0,48.00056603,20.81849155,4.127401125,0.0,0.0,4.127401125,49.80058657,0.0,0.0,13.97140918,0.0,0.0,0.0,0.0,0.0,5.685286281,6.554297052,-8.834166667,1.0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,368.15,4,CCCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,0.553885113
1.152777778,0.284374638,12.58333333,2.442199871,0.0,-0.32,49703.65177,16.53472402,8.610431983,0.0,20.81849155,0.0,0.0,16.83559397,7.771517605,33.61285484,0.0,26.17902562,20.81849155,0.0,0.0,47.49765045,20.81849155,4.127401125,0.0,0.0,4.127401125,69.18698622,0.0,0.0,27.6949488,0.0,0.0,0.0,0.0,0.0,8.554866544,14.61797296,-11.23958333,1.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,318.15,5,CCCCCCCC[N+](CC)(CC)CC.O=S(=O)(F)[N-]S(=O)(=O)F,-0.435408984
1.152777778,0.284374638,12.58333333,2.442199871,0.0,-0.32,49703.65177,16.53472402,8.610431983,0.0,20.81849155,0.0,0.0,16.83559397,7.771517605,33.61285484,0.0,26.17902562,20.81849155,0.0,0.0,47.49765045,20.81849155,4.127401125,0.0,0.0,4.127401125,69.18698622,0.0,0.0,27.6949488,0.0,0.0,0.0,0.0,0.0,8.554866544,14.61797296,-11.23958333,1.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,328.15,5,CCCCCCCC[N+](CC)(CC)CC.O=S(=O)(F)[N-]S(=O)(=O)F,-0.355247392
1.152777778,0.284374638,12.58333333,2.442199871,0.0,-0.32,49703.65177,16.53472402,8.610431983,0.0,20.81849155,0.0,0.0,16.83559397,7.771517605,33.61285484,0.0,26.17902562,20.81849155,0.0,0.0,47.49765045,20.81849155,4.127401125,0.0,0.0,4.127401125,69.18698622,0.0,0.0,27.6949488,0.0,0.0,0.0,0.0,0.0,8.554866544,14.61797296,-11.23958333,1.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,338.15,5,CCCCCCCC[N+](CC)(CC)CC.O=S(=O)(F)[N-]S(=O)(=O)F,-0.28103753
