SMILES,IL_SMILES,T/K,r,Normalized SMILES,index
Cc1ccccc1,CCCCCCOC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,298.15,1.051,CCCCCCOC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,8
Cc1ccccc1,CCCCCCOC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,308.15,1.06,CCCCCCOC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,8
Cc1ccccc1,CCCCCCOC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,318.15,1.07,CCCCCCOC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,8
Cc1ccccc1,CCCCCCOC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,328.15,1.08,CCCCCCOC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,8
Cc1ccccc1,CCCCCCOC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,338.15,1.087,CCCCCCOC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,8
Cc1ccccc1,CCCCCCOC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,348.15,1.096,CCCCCCOC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,8
Cc1ccccc1,CCCCCCOC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,358.15,1.103,CCCCCCOC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,8
Cc1ccccc1,CCCCCCOC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,368.15,1.111,CCCCCCOC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,8
Cc1ccccc1,CCCCCC[n+]1ccn(C)c1.N#C[S-],298.15,2.79,CCCCCC[n+]1ccn(C)c1.N#C[S-],9
Cc1ccccc1,CCCCCC[n+]1ccn(C)c1.N#C[S-],308.15,2.85,CCCCCC[n+]1ccn(C)c1.N#C[S-],9
Cc1ccccc1,CCCCCC[n+]1ccn(C)c1.N#C[S-],318.15,2.91,CCCCCC[n+]1ccn(C)c1.N#C[S-],9
Cc1ccccc1,CCCCCC[n+]1ccn(C)c1.N#C[S-],328.15,2.97,CCCCCC[n+]1ccn(C)c1.N#C[S-],9
Cc1ccccc1,CCCCCC[n+]1ccn(C)c1.N#C[S-],338.15,3.03,CCCCCC[n+]1ccn(C)c1.N#C[S-],9
